word,reading,meaning,thai_meaning
案内する,あんないする,to guide,แนะนำ
一生懸命,いっしょうけんめい,with utmost effort,พยายามอย่างเต็มที่
贈り物,おくりもの,gift,ของขวัญ
考える,かんがえる,to think,คิด
準備する,じゅんびする,to prepare,เตรียมตัว
連絡する,れんらくする,to contact,ติดต่อ
特に,とくに,especially,โดยเฉพาะ
役に立つ,やくにたつ,helpful,เป็นประโยชน์
注意する,ちゅういする,to watch out,ระมัดระวัง
複雑,ふくざつ,complicated,ซับซ้อน
習慣,しゅうかん,custom,ขนบธรรมเนียม
理由,りゆう,reason,เหตุผล
関係,かんけい,relationship,ความสัมพันธ์
紹介する,しょうかいする,to introduce,แนะนำตัว
約束,やくそく,promise,สัญญา
相談する,そうだんする,to consult,ปรึกษา
説明する,せつめいする,to explain,อธิบาย
反対する,はんたいする,to oppose,คัดค้าน
賛成する,さんせいする,to agree,เห็นด้วย
安全,あんぜん,safety,ปลอดภัย
危険,きけん,danger,อันตราย
心配する,しんぱいする,to worry,เป็นห่วง
経験,けいけん,experience,ประสบการณ์
技術,ぎじゅつ,technology,เทคโนโลยี
科学,かがく,science,วิทยาศาสตร์
将来,しょうらい,future,อนาคต
歴史,れきし,history,ประวัติศาสตร์
小説,しょうせつ,novel,นวนิยาย
いつも,いつも,always,เสมอ
いくら,いくら,how much,เท่าไหร่
これ,これ,this,นี่
それ,それ,that,นั่น
あれ,あれ,that over there,โน่น
どこ,どこ,where,ที่ไหน
だれ,だれ,who,ใคร
いつ,いつ,when,เมื่อไหร่
どうして,どうして,why,ทำไม
たいてい,たいてい,usually,โดยทั่วไป
ちっとも,ちっとも,not at all,ไม่เลย
ゆっくり,ゆっくり,slowly,ช้าๆ
はっきり,はっきり,clearly,ชัดเจน
すっかり,すっかり,completely,โดยสิ้นเชิง
やっぱり,やっぱり,as expected,อย่างที่คิดไว้
やっと,やっと,at last,ในที่สุด
